employee_id,gender,race,level,function,location,years_experience,years_at_company,performance_rating,is_people_manager,salary,bonus,total_comp,residual,residual_pct,predicted_salary,shortfall,is_urm,demographic_group
1,Male,White,3,Operations,Remote,13.9,2.0,4,0,111204,14456,125660,0.015943885261146207,1.5943885261146207,109445.03580672054,-1759.0,False,Male / non-URM
2,Male,Asian,2,Engineering,Seattle,6.9,0.6,4,0,109926,10993,120919,-0.0007611172487766993,-0.07611172487766993,110009.69842280513,84.0,False,Male / non-URM
3,Male,Hispanic,4,Sales,Remote,12.2,2.6,2,0,129638,15557,145194,-0.04456736120343763,-4.456736120343763,135546.30442546174,5908.0,True,Male / URM
4,Male,Black,5,Product,Remote,19.8,7.2,2,1,199634,29945,229579,-0.007225542915264782,-0.7225542915264782,201081.68790141697,1448.0,True,Male / URM
5,Female,White,2,Finance,SF,9.6,3.5,3,0,111387,8911,120298,0.010651440884908325,1.0651440884908325,110206.8641850807,-1180.0,False,Female / non-URM
6,Male,White,6,Finance,NY,12.5,4.4,2,1,277782,50001,327783,0.03218163589697376,3.218163589697376,268984.8336442038,-8797.0,False,Male / non-URM
7,Male,Hispanic,5,Marketing,NY,16.6,4.8,3,1,213112,36229,249341,-0.01781858389070834,-1.781858389070834,216943.38762884645,3831.0,True,Male / URM
8,Male,Hispanic,2,Engineering,NY,6.5,2.3,4,0,106451,10645,117096,-0.09038618211632432,-9.038618211632432,116520.93628882412,10070.0,True,Male / URM
9,Female,White,7,Sales,Seattle,22.7,10.1,2,1,354298,74402,428700,-0.05396314782184497,-5.396314782184497,373942.3027320551,19644.0,False,Female / non-URM
10,Male,Asian,1,Engineering,NY,6.5,0.1,3,0,89473,4474,93947,0.05430816543684713,5.430816543684713,84743.47383111724,-4730.0,False,Male / non-URM
11,Female,White,5,HR,Austin,11.1,1.7,2,0,144072,21611,165683,-0.07216546396387535,-7.216546396387535,154853.36526190158,10781.0,False,Female / non-URM
12,Male,White,4,Engineering,SF,13.7,6.7,4,0,204892,32783,237675,0.07667383992278332,7.667383992278332,189769.30896483758,-15123.0,False,Male / non-URM
13,Male,White,5,Engineering,NY,16.0,3.9,3,1,238172,40489,278661,0.008902986395257884,0.8902986395257884,236060.96910782286,-2111.0,False,Male / non-URM
14,Male,White,6,Operations,Denver,18.9,9.7,3,1,236791,47358,284149,0.03372381386757084,3.372381386757084,228938.65410528393,-7852.0,False,Male / non-URM
15,Male,White,5,Sales,Seattle,16.9,5.5,2,1,214981,32247,247228,0.012280349452916894,1.2280349452916894,212357.10235933147,-2624.0,False,Male / non-URM
16,Female,Black,5,Operations,Seattle,19.2,9.6,3,1,189520,32218,221739,-0.10807456059512432,-10.807456059512432,211150.07159373508,21630.0,True,Female / URM
17,Male,White,6,Engineering,Remote,19.0,9.1,4,0,281060,61833,342893,0.04511472288225171,4.511472288225171,268661.8288166158,-12398.0,False,Male / non-URM
18,Female,White,5,Operations,Remote,15.6,9.3,3,0,166472,28300,194772,-0.04974232349240637,-4.974232349240637,174962.1125207993,8490.0,False,Female / non-URM
19,Male,White,6,Engineering,Austin,20.9,6.0,3,1,269873,53975,323848,-0.0037424891815227568,-0.3742489181522757,270884.8890938164,1012.0,False,Male / non-URM
20,Male,White,3,Engineering,SF,16.1,8.7,3,0,142747,15702,158449,-0.07441155721120296,-7.441155721120296,153774.21492991943,11027.0,False,Male / non-URM
21,Male,White,2,Sales,SF,10.3,3.3,4,0,124311,12431,136742,0.07756388351116072,7.7563883511160725,115033.40985691128,-9278.0,False,Male / non-URM
22,Female,Asian,2,Engineering,Remote,8.5,1.8,2,0,90603,5436,96039,-0.018347419106220286,-1.8347419106220286,92280.67465085763,1678.0,False,Female / non-URM
23,Male,White,5,Sales,Denver,16.6,8.2,4,0,207516,39428,246944,0.06627034966300371,6.627034966300371,194209.62083086857,-13306.0,False,Male / non-URM
24,Male,Asian,4,Engineering,Remote,13.6,8.5,3,0,166551,23317,189869,0.056030930729070505,5.6030930729070505,157475.61771068475,-9075.0,False,Male / non-URM
25,Male,Hispanic,1,Engineering,Denver,5.5,3.3,3,0,75219,3761,78980,0.04285233671093458,4.285233671093458,72063.77723820471,-3155.0,True,Male / URM
26,Female,White,2,Operations,NY,13.4,7.9,3,0,101291,8103,109394,-0.048127322909905956,-4.812732290990596,106285.07651222836,4994.0,False,Female / non-URM
27,Male,Hispanic,7,Engineering,Seattle,18.6,2.7,3,1,350002,80500,430503,-0.05412887363132768,-5.412887363132768,369469.3335101382,19467.0,True,Male / URM
28,Female,Hispanic,6,Marketing,Remote,20.9,4.7,3,1,233268,46654,279922,-0.018108117628839793,-1.8108117628839793,237530.52102495756,4263.0,True,Female / URM
29,Female,Black,6,Operations,Remote,17.7,7.9,4,1,227787,50113,277900,-0.052555140626592944,-5.255514062659294,240078.540624374,12292.0,True,Female / URM
30,Male,Asian,2,Engineering,NY,4.3,2.8,4,0,117352,11735,129087,0.014178791518723699,1.41787915187237,115699.8310164677,-1652.0,False,Male / non-URM
31,Male,Asian,1,Operations,Austin,5.0,1.6,3,0,68204,3410,71614,0.055999259104659416,5.599925910465942,64489.5990042943,-3714.0,False,Male / non-URM
32,Male,Asian,3,Engineering,NY,9.1,3.8,4,0,153076,19900,172976,0.04226641559307609,4.226641559307609,146740.8512718987,-6335.0,False,Male / non-URM
